id_campana,nombre_campana,tipo,objetivo,fecha_inicio,fecha_fin,estado,clientes_contactados,conversiones,costo_total,ingreso_generado
CAMP001,Campaña Llamada Rete-Jan2022,WhatsApp,Cross-sell,2021-12-30,2022-01-20,Finalizada,4323,320,18300000.0,1120000000
CAMP002,Campaña Push Notificación Rete-Jan2022,Email,Cross-sell,2022-01-13,2022-02-12,Finalizada,1511,139,5040000.0,361400000
CAMP003,Campaña WhatsApp Adqu-Jan2022,WhatsApp,Retención,2022-02-02,2022-02-16,Finalizada,4650,560,28130000.0,2408000000
CAMP004,Campaña SMS Adqu-Feb2022,WhatsApp,Reactivación,2022-02-15,2022-02-22,Finalizada,4238,507,6510000.0,2281500000
CAMP005,Campaña Llamada Cros-Mar2022,Email,Retención,2022-03-02,2022-03-16,Finalizada,2062,212,4520000.0,742000000
CAMP006,Campaña Push Notificación Rete-Mar2022,Llamada,Cross-sell,2022-03-16,2022-04-06,Finalizada,2204,159,16469999.999999998,174900000
CAMP007,Campaña WhatsApp Reac-Apr2022,WhatsApp,Cross-sell,2022-03-29,2022-04-28,Finalizada,3815,485,16469999.999999998,1406500000
CAMP008,Campaña Email Cros-Apr2022,Email,Cross-sell,2022-04-14,2022-04-21,Finalizada,2925,450,7740000.0,540000000
CAMP009,Campaña SMS Rete-May2022,WhatsApp,Retención,2022-04-30,2022-05-14,Finalizada,2383,106,15860000.0,328600000
CAMP010,Campaña WhatsApp Reac-May2022,WhatsApp,Retención,2022-05-13,2022-05-27,Finalizada,353,26,2480000.0,132600000
CAMP011,Campaña Push Notificación Reac-May2022,Email,Adquisición,2022-05-29,2022-06-19,En ejecución,1015,128,2920000.0,537600000
CAMP012,Campaña Push Notificación Adqu-Jun2022,WhatsApp,Reactivación,2022-06-17,2022-06-24,Finalizada,1319,185,8100000.0,444000000
CAMP013,Campaña Push Notificación Adqu-Jun2022,WhatsApp,Retención,2022-07-03,2022-07-24,Finalizada,3468,502,19070000.0,1255000000
CAMP014,Campaña Push Notificación Reac-Jul2022,WhatsApp,Reactivación,2022-07-18,2022-08-01,Planificada,2355,293,14940000.0,380900000
CAMP015,Campaña Push Notificación Reac-Jul2022,WhatsApp,Adquisición,2022-07-27,2022-08-17,Finalizada,1409,136,9330000.0,367200000
CAMP016,Campaña SMS Adqu-Aug2022,WhatsApp,Adquisición,2022-08-15,2022-08-29,Finalizada,653,80,,200000000
CAMP017,Campaña Llamada Adqu-Aug2022,Email,Reactivación,2022-08-28,2022-09-11,Planificada,1306,54,10080000.0,86400000
CAMP018,Campaña Llamada Adqu-Sep2022,Email,Cross-sell,2022-09-13,2022-10-13,Finalizada,2996,159,21320000.0,286200000
CAMP019,Campaña Email Adqu-Sep2022,Llamada,Adquisición,2022-09-29,2022-10-13,Finalizada,4744,798,14180000.0,1356600000
CAMP020,Campaña Llamada Rete-Oct2022,WhatsApp,Cross-sell,2022-10-10,2022-10-24,Finalizada,4616,773,34330000.0,4869900000
CAMP021,Campaña Push Notificación Adqu-Oct2022,Llamada,Retención,2022-10-28,2022-11-18,Finalizada,4573,621,17550000.0,1738800000
CAMP022,Campaña Llamada Cros-Nov2022,WhatsApp,Adquisición,2022-11-15,2022-12-06,Finalizada,2859,206,17790000.0,741600000
CAMP023,Campaña Llamada Cros-Nov2022,Push Notificación,Adquisición,2022-11-25,2022-12-09,Finalizada,1237,153,8670000.0,596700000
CAMP024,Campaña Push Notificación Cros-Dec2022,WhatsApp,Cross-sell,2022-12-12,2022-12-26,Finalizada,3533,459,15320000.0,2340900000
CAMP025,Campaña SMS Adqu-Dec2022,Llamada,Retención,2022-12-24,2023-01-07,Finalizada,613,62,1120000.0,310000000
CAMP026,Campaña Push Notificación Reac-Jan2023,Email,Adquisición,2023-01-08,2023-01-15,Finalizada,2741,383,21030000.0,1493700000
CAMP027,Campaña Llamada Reac-Jan2023,WhatsApp,Cross-sell,2023-01-29,2023-02-12,Finalizada,4342,107,8560000.0,160500000
CAMP028,Campaña Llamada Rete-Feb2023,Llamada,Reactivación,2023-02-07,2023-03-09,Planificada,2139,130,8050000.000000001,507000000
