id_credito,id_cliente,fecha_desembolso,producto,canal,monto,plazo_meses,tasa_ea,estado,dias_mora
CRED00001,CLI0743,2020-02-29,Plus,Sucursal,6800000.0,18,2.01,Al día,0
CRED00002,CLI0784,2022-08-22,Express,Televentas,1400000.0,24,2.24,Cancelado,0
CRED00003,CLI0116,2023-10-15,Express,Televentas,2100000.0,18,3.13,En mora,93
CRED00004,CLI0033,2020-04-13,Empresarial,Televentas,9500000.0,24,1.55,En mora,151
CRED00005,CLI0677,2020-08-04,Express,Sucursal,1000000.0,24,2.51,En mora,136
CRED00006,CLI0430,2022-02-24,Express,Digital,2200000.0,36,2.76,Al día,0
CRED00007,CLI0630,2020-04-20,Plus,Televentas,2700000.0,36,2.79,Al día,0
CRED00008,CLI0785,2020-06-25,Plus,Convenio Empresa,4000000.0,36,2.72,Cancelado,0
CRED00009,CLI0017,2022-05-23,Express,Convenio Empresa,1400000.0,18,2.73,Cancelado,0
CRED00010,CLI0247,2022-03-13,Express,Televentas,2300000.0,18,1.6,Al día,0
CRED00011,CLI0212,2021-01-01,Express,Referido,1100000.0,12,2.41,Al día,0
CRED00012,CLI0069,2023-12-14,Plus,Sucursal,4600000.0,12,2.83,Cancelado,0
CRED00013,CLI0104,2023-05-05,Plus,Digital,3000000.0,18,1.66,Al día,0
CRED00014,CLI0609,2023-04-28,Express,Televentas,1300000.0,12,1.52,Cancelado,0
CRED00015,CLI0035,2023-07-13,Plus,Digital,1100000.0,36,2.88,Al día,0
CRED00016,CLI0458,2023-11-14,Plus,Digital,8300000.0,60,2.71,Al día,0
CRED00017,CLI0613,2023-12-03,Express,Televentas,2000000.0,12,2.2,Al día,0
CRED00018,CLI0689,2022-07-02,Express,Referido,1200000.0,48,3.1,Al día,0
CRED00019,CLI0721,2023-06-16,Plus,Referido,2700000.0,12,2.8,Al día,0
CRED00020,CLI0050,2021-12-29,Express,Digital,1300000.0,36,3.15,Al día,0
CRED00021,CLI0251,2021-10-01,Express,Digital,2200000.0,36,3.08,En mora,155
CRED00022,CLI0759,2021-11-11,Plus,Televentas,2100000.0,48,2.32,Castigado,280
CRED00023,CLI0046,2021-02-09,Empresarial,Televentas,9400000.0,12,2.78,Al día,0
CRED00024,CLI0412,2023-12-31,Plus,Digital,7400000.0,18,2.64,Al día,0
CRED00025,CLI0450,2023-10-05,Plus,Referido,2700000.0,12,2.88,Al día,0
CRED00026,CLI0240,2022-12-28,Plus,Referido,4100000.0,24,,Al día,0
CRED00027,CLI0553,2020-06-09,Express,Televentas,3900000.0,48,1.76,Al día,0
CRED00028,CLI0223,2022-08-11,Plus,Referido,5000000.0,36,1.9,Al día,0
CRED00029,CLI0773,2023-03-08,Express,Digital,1700000.0,36,1.95,Al día,0
CRED00030,CLI0795,2020-09-26,Express,Convenio Empresa,2000000.0,24,2.89,Al día,0
CRED00031,CLI0058,2020-07-09,Plus,Televentas,3500000.0,48,2.88,Al día,0
CRED00032,CLI0144,2023-12-01,Plus,Digital,6300000.0,24,2.34,En mora,61
CRED00033,CLI0516,2022-08-17,Express,Referido,1400000.0,12,2.49,Al día,0
CRED00034,CLI0297,2020-07-18,Empresarial,Televentas,5500000.0,48,2.91,Cancelado,0
CRED00035,CLI0240,2022-07-22,Express,Convenio Empresa,1400000.0,18,2.03,Cancelado,0
CRED00036,CLI0750,2021-09-27,Express,Digital,1100000.0,12,1.59,Castigado,231
CRED00037,CLI0590,2023-11-02,Express,Digital,1500000.0,12,2.32,Cancelado,0
CRED00038,CLI0327,2023-08-12,Plus,Digital,3600000.0,36,3.05,Al día,0
CRED00039,CLI0592,2023-12-25,Plus,Televentas,,36,2.84,Al día,0
CRED00040,CLI0613,2022-08-11,Express,Convenio Empresa,2100000.0,18,2.12,Al día,0
CRED00041,CLI0792,2022-08-21,Plus,Digital,4400000.0,36,,En mora,54
CRED00042,CLI0689,2021-04-19,Express,Convenio Empresa,1600000.0,36,2.58,Cancelado,0
CRED00043,CLI0329,2021-04-03,Plus,Convenio Empresa,2800000.0,48,2.92,Cancelado,0
CRED00044,CLI0243,2020-10-21,Express,Convenio Empresa,700000.0,24,2.63,Al día,0
CRED00045,CLI0310,2023-06-17,Express,Televentas,1700000.0,36,2.22,En mora,150
CRED00046,CLI0147,2021-06-12,Empresarial,Referido,12500000.0,36,1.71,Al día,0
CRED00047,CLI0677,2022-01-14,Express,Televentas,1600000.0,18,3.05,Al día,0
CRED00048,CLI0534,2022-03-13,Express,Televentas,1300000.0,18,1.97,En mora,99
CRED00049,CLI0227,2021-01-10,Plus,Digital,4700000.0,24,1.88,Al día,0
CRED00050,CLI0424,2023-12-03,Empresarial,Digital,9600000.0,12,2.89,Castigado,134
CRED00051,CLI0308,2023-09-24,Express,Digital,3200000.0,18,3.17,Al día,0
CRED00052,CLI0282,2021-11-07,Express,Televentas,2700000.0,24,2.62,Cancelado,0
CRED00053,CLI0063,2021-10-27,Express,Digital,2400000.0,12,2.56,Al día,0
CRED00054,CLI0571,2022-07-17,Plus,Digital,5200000.0,12,2.04,En mora,28
CRED00055,CLI0606,2022-09-25,Express,Convenio Empresa,1000000.0,24,1.53,En mora,34
CRED00056,CLI0753,2020-03-02,Plus,Digital,5000000.0,36,1.83,Cancelado,0
CRED00057,CLI0180,2020-05-13,Empresarial,Digital,11000000.0,48,2.49,Al día,0
CRED00058,CLI0642,2022-08-31,Express,Digital,2100000.0,24,1.76,Cancelado,0
CRED00059,CLI0696,2020-08-19,Express,Convenio Empresa,2000000.0,24,3.0,Al día,0
CRED00060,CLI0438,2021-12-20,Express,Digital,1900000.0,24,1.82,Al día,0
CRED00061,CLI0570,2022-09-07,Express,Televentas,4800000.0,18,2.39,Al día,0
CRED00062,CLI0508,2022-08-02,Empresarial,Televentas,9600000.0,12,2.37,En mora,162
CRED00063,CLI0049,2020-12-15,Express,Convenio Empresa,2400000.0,36,2.53,Al día,0
CRED00064,CLI0353,2021-08-01,Express,Televentas,1300000.0,24,2.06,En mora,155
